|       |     F10A3 |     F10A5 |     F10B3 |     F10B5 |     F10C1 |     F10C3 |     F10C4 |     F10D1 |     F10D5 |     F10E3 |     F10E5 |     F10F1 |     F10F3 |     F10F5 |     F10G2 |     F11A3 |     F11A6 |     F11B1 |     F11B2 |     F11B5 |     F11C2 |     F11D1 |     F11D2 |     F11D4 |     F11G3 |     F11G4 |     F12B1 |     F12B2 |     F12B3 |     F12C6 |     F12D4 |     F12E1 |     F12E4 |     F12E5 |     F12E6 |     F12F1 |     F12F5 |     F12G1 |     F15A3 |     F15A5 |     F15A6 |     F15B5 |     F15C5 |     F15C6 |     F15C8 |     F15D1 |     F15D2 |     F15E1 |     F15E2 |     F15E4 |     F15E5 |     F15E7 |     F15F1 |     F15F3 |     F15F5 |     F15F6 |     F15F8 |     F15H1 |     F15H5 |     F16A2 |     F16A4 |     F16A5 |     F16B1 |     F16B2 |     F16B3 |     F16B6 |     F16C1 |     F16D6 |     F16F4 |     F16G3 |     F16G4 |     F16G6 |     F17A7 |     F17B1 |     F17B7 |     F17C1 |     F17C2 |     F17C7 |     F17D6 |     F17E6 |     F17E7 |     F17F3 |     F17F5 |     F17G3 |     F17G5 |     F18B2 |     F18B4 |     F18C4 |     F18D2 |     F18E1 |     F18E2 |     F18F2 |      F3F1 |      F5A2 |      F5A4 |      F5B1 |      F5B2 |      F5B3 |      F5B4 |      F5C1 |      F5C2 |      F5C4 |      F5D1 |      F5E2 |      F5E4 |      F5F2 |      F5G2 |      F6A4 |      F6B2 |      F6B4 |      F6C2 |      F6C4 |      F6D2 |      F6E2 |      F6E4 |      F6F2 |      F6F4 |      F6G2 |      F6G3 |      F7A3 |      F7A6 |      F7B1 |      F7B2 |      F7B4 |      F7B5 |      F7B6 |      F7C1 |      F7C2 |      F7C6 |      F7D2 |      F7D3 |      F7D4 |      F7D6 |      F7E2 |      F7E6 |      F7F2 |      F7F3 |      F7F6 |      F7G2 |      F7G5 |      F8A1 |      F8A2 |      F8B2 |      F8B4 |      F8B5 |      F8C5 |      F8D3 |      F8D4 |      F8E6 |      F8G1 |      F8G2 |      F9A2 |      F9A3 |      F9A4 |      F9A5 |      F9B4 |      F9B6 |      F9C5 |      F9D3 |      F9D6 |      F9F2 |      F9F3 |      F9G3 |
| F18C4 | 0.0681818 | 0         | 0         | 0.0588235 | 0         | 0.0806452 | 0         | 0.142857  | 0         | 0         | 0.0666667 | 0.0892857 | 0.625     | 0.4       | 0         | 0.0508475 | 0         | 0.105263  | 0.25      | 0.1       | 0.0793651 | 0.108108  | 0         | 0         | 0.0294118 | 0.166667  | 0         | 0         | 0         | 0.363636  | 0         | 0.0172414 | 0.0833333 | 0.0769231 | 0.25      | 0         | 0.0175439 | 0.222222  | 0         | 0.125     | 0         | 0.2       | 0.0952381 | 0         | 0.0909091 | 0         | 0.0882353 | 0         | 0         | 0         | 0.111111  | 0         | 0         | 0         | 0.173913  | 0         | 0.428571  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.142857  | 0         | 0.2       | 0         | 0         | 0.0625    | 0.238095  | 0         | 0.105263  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.130435  | 0         | 1         | 0         | 0         | 0.25      | 0         | 0.0322581 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.235294  | 0         | 0.142857  | 0         | 0.166667  | 0         | 0.0877193 | 0.0769231 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.166667  | 0         | 0.0689655 | 0         | 0         | 0         | 0         | 0.0724638 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0714286 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0714286 | 0         | 0.0454545 | 0.176471  | 0.555556  | 0.4       | 0.075     | 0         | 0         |
| F18D2 | 0.0434783 | 0         | 0         | 0.0735294 | 0         | 0.0793651 | 0         | 0         | 0.166667  | 0         | 0.0833333 | 0.0877193 | 0         | 0         | 0.121951  | 0.105263  | 0         | 0         | 0         | 0         | 0.0952381 | 0.05      | 0.133333  | 0.0714286 | 0.125     | 0         | 0         | 0         | 0.0714286 | 0         | 0         | 0.0909091 | 0         | 0         | 0         | 0         | 0.0535714 | 0         | 0         | 0         | 0.107143  | 0         | 0         | 0.1       | 0.0416667 | 0.153846  | 0.117647  | 0.130435  | 0         | 0         | 0         | 0.135135  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0961538 | 0.2       | 0.129032  | 0.0833333 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.1       | 0         | 0         | 0.0333333 | 0         | 0         | 0         | 0         | 0         | 0         | 0.0434783 | 0         | 0.0526316 | 0         | 0.0526316 | 0         | 1         | 0.3125    | 0         | 0         | 0.0833333 | 0         | 0.0714286 | 0.12      | 0.0833333 | 0         | 0         | 0.0833333 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0952381 | 0         | 0         | 0         | 0.315789  | 0         | 0.192308  | 0         | 0.0526316 | 0         | 0.166667  | 0         | 0.111111  | 0.0677966 | 0.0923077 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.103448  | 0         | 0         | 0         | 0         | 0.0869565 | 0         | 0         | 0         | 0.1       | 0         | 0         | 0         | 0.117647  | 0.075     | 0.121951  | 0         | 0.0833333 | 0         | 0.111111  | 0         | 0         | 0         | 0         | 0         | 0.142857  | 0.05      | 0         | 0         | 0.047619  | 0.142857  | 0.05      |
| F18E1 | 0.0961538 | 0         | 0         | 0.15493   | 0         | 0.184615  | 0         | 0.0204082 | 0.0666667 | 0         | 0.193548  | 0.20339   | 0         | 0         | 0.25      | 0.220339  | 0.047619  | 0         | 0         | 0         | 0.147059  | 0.0851064 | 0.3       | 0.181818  | 0.153846  | 0         | 0         | 0         | 0.411765  | 0         | 0         | 0.210526  | 0.0952381 | 0         | 0         | 0         | 0.114754  | 0         | 0         | 0         | 0.37931   | 0         | 0.03125   | 0.0526316 | 0.0967742 | 0.255814  | 0.175     | 0.346154  | 0         | 0.0526316 | 0         | 0.307692  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.245283  | 0.166667  | 0.222222  | 0.222222  | 0         | 0.0588235 | 0         | 0         | 0         | 0         | 0         | 0.107143  | 0         | 0.047619  | 0.0526316 | 0         | 0         | 0         | 0         | 0         | 0.0416667 | 0.03125   | 0         | 0         | 0         | 0.0357143 | 0         | 0.3125    | 1         | 0         | 0         | 0.121212  | 0.1       | 0.142857  | 0.25      | 0.230769  | 0         | 0.142857  | 0.222222  | 0.117647  | 0         | 0.0588235 | 0.0666667 | 0.0952381 | 0.166667  | 0.166667  | 0.21875   | 0         | 0         | 0.166667  | 0.307692  | 0         | 0.428571  | 0         | 0.0740741 | 0.0588235 | 0.0666667 | 0         | 0.0555556 | 0.0909091 | 0.19403   | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.242424  | 0         | 0         | 0         | 0         | 0.2       | 0         | 0         | 0         | 0.192308  | 0         | 0         | 0         | 0.245283  | 0.130435  | 0.27907   | 0         | 0.1       | 0         | 0.0555556 | 0         | 0         | 0         | 0         | 0         | 0.1       | 0.0714286 | 0         | 0         | 0.12766   | 0.322581  | 0.0344828 |
| F18E2 | 0.0681818 | 0         | 0         | 0.0588235 | 0         | 0.0634921 | 0         | 0.111111  | 0         | 0         | 0.0491803 | 0.0517241 | 0.3       | 0.272727  | 0.0227273 | 0.0508475 | 0         | 0.105263  | 0.25      | 0.1       | 0.0461538 | 0.0789474 | 0.0666667 | 0         | 0.0294118 | 0         | 0         | 0         | 0.0769231 | 0.153846  | 0         | 0.0727273 | 0.0833333 | 0         | 0.153846  | 0         | 0.0175439 | 0.157895  | 0         | 0         | 0         | 0         | 0.0454545 | 0         | 0.0909091 | 0.0232558 | 0.0277778 | 0         | 0         | 0.111111  | 0.0526316 | 0         | 0         | 0         | 0.0384615 | 0         | 0         | 0.0769231 | 0.0625    | 0         | 0         | 0.037037  | 0         | 0         | 0         | 0.142857  | 0         | 0.0909091 | 0         | 0         | 0         | 0.130435  | 0         | 0.166667  | 0         | 0         | 0         | 0.125     | 0         | 0         | 0         | 0.0714286 | 0.0454545 | 0.0952381 | 0         | 0.130435  | 0         | 0.25      | 0         | 0         | 1         | 0         | 0.0666667 | 0         | 0         | 0.0185185 | 0.027027  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0149254 | 0         | 0         | 0         | 0.0909091 | 0         | 0         | 0.105263  | 0         | 0         | 0         | 0.166667  | 0         | 0.0877193 | 0.0606061 | 0         | 0         | 0         | 0.142857  | 0         | 0         | 0         | 0         | 0         | 0.107143  | 0         | 0         | 0         | 0         | 0.0724638 | 0         | 0         | 0         | 0.05      | 0         | 0         | 0         | 0.037037  | 0         | 0.097561  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0714286 | 0         | 0         | 0.0526316 | 0.166667  | 0.272727  | 0.075     | 0.0333333 | 0.0526316 |
| F18F2 | 0.0888889 | 0         | 0         | 0.0571429 | 0         | 0.112903  | 0         | 0.135135  | 0         | 0         | 0.047619  | 0.016129  | 0         | 0         | 0.0930233 | 0.0666667 | 0.272727  | 0.15      | 0         | 0.0833333 | 0.111111  | 0.0238095 | 0.0588235 | 0.192308  | 0.0571429 | 0         | 0         | 0         | 0         | 0.0625    | 0         | 0.0166667 | 0.0714286 | 0         | 0         | 0         | 0.0909091 | 0.2       | 0         | 0.1       | 0         | 0         | 0.0416667 | 0         | 0         | 0.0222222 | 0.114286  | 0         | 0         | 0         | 0.222222  | 0.0487805 | 0         | 0         | 0.208333  | 0         | 0         | 0         | 0         | 0         | 0         | 0.0175439 | 0         | 0         | 0         | 0.0833333 | 0         | 0.166667  | 0         | 0         | 0.1875    | 0.272727  | 0.0454545 | 0.0952381 | 0.0769231 | 0.0666667 | 0         | 0.0526316 | 0.363636  | 0.25      | 0         | 0.133333  | 0         | 0.0869565 | 0         | 0.272727  | 0.105263  | 0         | 0         | 0         | 0         | 1         | 0.0819672 | 0         | 0.142857  | 0.0754717 | 0         | 0.0666667 | 0         | 0         | 0         | 0.142857  | 0.25      | 0         | 0.363636  | 0         | 0         | 0.0769231 | 0.142857  | 0         | 0.0833333 | 0         | 0.2       | 0         | 0.210526  | 0         | 0         | 0         | 0         | 0         | 0.0491803 | 0.0746269 | 0.142857  | 0.0666667 | 0         | 0.0588235 | 0         | 0.285714  | 0.75      | 0.125     | 0         | 0.03125   | 0.142857  | 0.2       | 0.142857  | 0.142857  | 0.0704225 | 0.142857  | 0.142857  | 0.1       | 0.210526  | 0         | 0         | 0         | 0.0175439 | 0.1       | 0.0930233 | 0         | 0.0769231 | 0         | 0.1       | 0         | 0         | 0         | 0         | 0         | 0.190476  | 0.1       | 0         | 0.0666667 | 0.125     | 0.03125   | 0.157895  |
| F3F1  | 0.485294  | 0.0169492 | 0.0169492 | 0.702703  | 0.0169492 | 0.592105  | 0.169492  | 0.446154  | 0.0169492 | 0.0169492 | 0.638889  | 0.575342  | 0.0806452 | 0.114754  | 0.414286  | 0.681159  | 0.118644  | 0.171875  | 0.213115  | 0.0833333 | 0.626667  | 0.484375  | 0.111111  | 0.31746   | 0.369231  | 0.0166667 | 0.0169492 | 0.0169492 | 0.0625    | 0.131148  | 0.0169492 | 0.637681  | 0.116667  | 0.114754  | 0.131148  | 0.0169492 | 0.623188  | 0.206349  | 0.0169492 | 0.05      | 0.2       | 0         | 0.283333  | 0.0491803 | 0.238095  | 0.462687  | 0.358209  | 0.179104  | 0.0508475 | 0.0666667 | 0.233333  | 0.357143  | 0.0169492 | 0.0169492 | 0.285714  | 0.0169492 | 0.0491803 | 0.152542  | 0.20339   | 0.0677966 | 0.0833333 | 0.571429  | 0.0833333 | 0.275362  | 0.047619  | 0.238095  | 0.0163934 | 0.047619  | 0.0169492 | 0.0169492 | 0.183333  | 0.25      | 0.229508  | 0.209677  | 0.1       | 0.292308  | 0.118644  | 0.220339  | 0.0983607 | 0.0333333 | 0.0169492 | 0.112903  | 0.241935  | 0.262295  | 0.196721  | 0.25      | 0.196721  | 0.0322581 | 0.0833333 | 0.121212  | 0.0666667 | 0.0819672 | 1         | 0.0819672 | 0.114754  | 0.535211  | 0.277778  | 0.133333  | 0.0967742 | 0.0819672 | 0.0327869 | 0.0169492 | 0.0333333 | 0         | 0.0806452 | 0.0483871 | 0.0483871 | 0.648649  | 0.0169492 | 0.0338983 | 0.031746  | 0.238095  | 0.147541  | 0.253731  | 0.190476  | 0.15873   | 0.0333333 | 0.0169492 | 0.0166667 | 0.0677966 | 0.633803  | 0.675676  | 0.0169492 | 0.133333  | 0.0338983 | 0.186441  | 0.0169492 | 0.0338983 | 0.0819672 | 0.0166667 | 0.0338983 | 0.307692  | 0.0169492 | 0.0847458 | 0.0169492 | 0.0169492 | 0.684211  | 0.0169492 | 0.0169492 | 0.0677966 | 0.171875  | 0.0508475 | 0.0677966 | 0.0169492 | 0.549296  | 0.476923  | 0.414286  | 0.0169492 | 0.118644  | 0.0833333 | 0.0677966 | 0.0169492 | 0.05      | 0.0169492 | 0.15      | 0.0169492 | 0.222222  | 0.193548  | 0.0967742 | 0.0793651 | 0.426471  | 0.349206  | 0.233333  |
| F5A2  | 0.0652174 | 0         | 0.142857  | 0.0882353 | 0         | 0.112903  | 0         | 0         | 0         | 0         | 0.118644  | 0.105263  | 0         | 0         | 0.119048  | 0.122807  | 0.0769231 | 0         | 0         | 0         | 0.09375   | 0.075     | 0.0588235 | 0.0333333 | 0.0882353 | 0         | 0         | 0         | 0.142857  | 0         | 0.142857  | 0.109091  | 0.0714286 | 0         | 0         | 0         | 0.0909091 | 0         | 0         | 0         | 0.185185  | 0         | 0.0416667 | 0         | 0.0833333 | 0.0952381 | 0.0540541 | 0.125     | 0         | 0         | 0         | 0.131579  | 0         | 0         | 0.0357143 | 0         | 0         | 0         | 0         | 0         | 0.0833333 | 0.137255  | 0         | 0.16129   | 0.0769231 | 0         | 0.111111  | 0         | 0         | 0         | 0         | 0         | 0.0952381 | 0         | 0.0769231 | 0.185185  | 0.0769231 | 0         | 0         | 0         | 0         | 0.133333  | 0         | 0         | 0         | 0         | 0.05      | 0         | 0         | 0.1       | 0         | 0         | 0.0819672 | 1         | 0.142857  | 0.117647  | 0.212121  | 0.0666667 | 0.777778  | 0.0769231 | 0.375     | 0         | 0         | 0.142857  | 0         | 0.625     | 0.625     | 0.111111  | 0         | 0         | 0.3       | 0.04      | 0         | 0.230769  | 0         | 0.05      | 0         | 0         | 0         | 0         | 0.0491803 | 0.0909091 | 0         | 0.142857  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0645161 | 0         | 0         | 0         | 0         | 0.0857143 | 0         | 0         | 0         | 0.0454545 | 0         | 0         | 0         | 0.115385  | 0.0731707 | 0.175     | 0.142857  | 0         | 0.181818  | 0         | 0         | 0         | 0         | 0         | 0.142857  | 0.0416667 | 0.047619  | 0         | 0         | 0.0227273 | 0.137931  | 0.047619  |
| F5A4  | 0.0851064 | 0         | 0         | 0.134328  | 0         | 0.126984  | 0         | 0.047619  | 0         | 0         | 0.133333  | 0.0833333 | 0         | 0         | 0.0888889 | 0.137931  | 0.0666667 | 0.0869565 | 0         | 0         | 0.0746269 | 0.097561  | 0.111111  | 0.137931  | 0.0833333 | 0         | 0         | 0         | 0.125     | 0         | 0         | 0.145455  | 0         | 0         | 0         | 0         | 0.148148  | 0         | 0         | 0         | 0.0625    | 0         | 0.0384615 | 0         | 0.037037  | 0.170732  | 0.0512821 | 0.115385  | 0         | 0         | 0.0434783 | 0.0714286 | 0         | 0         | 0.0333333 | 0         | 0         | 0.0588235 | 0.05      | 0         | 0         | 0.132075  | 0         | 0.0857143 | 0         | 0         | 0.0909091 | 0         | 0.111111  | 0.111111  | 0.166667  | 0.0344828 | 0.136364  | 0         | 0.142857  | 0.133333  | 0.142857  | 0.1       | 0.0625    | 0.0909091 | 0         | 0.117647  | 0.0384615 | 0.08      | 0.0454545 | 0.0714286 | 0.0454545 | 0         | 0.0714286 | 0.142857  | 0         | 0.142857  | 0.114754  | 0.142857  | 1         | 0.18      | 0.135135  | 0.0588235 | 0.125     | 0.6       | 0.0833333 | 0         | 0.333333  | 0.111111  | 0.133333  | 0.0714286 | 0.0714286 | 0.142857  | 0.111111  | 0         | 0.0714286 | 0.0769231 | 0.0526316 | 0.0625    | 0         | 0.0952381 | 0         | 0         | 0         | 0         | 0.0645161 | 0.121212  | 0         | 0.0588235 | 0         | 0         | 0         | 0.1       | 0.0666667 | 0         | 0         | 0.0606061 | 0         | 0.166667  | 0         | 0         | 0.0684932 | 0         | 0         | 0         | 0.0416667 | 0         | 0.0833333 | 0         | 0.153846  | 0.121951  | 0.0652174 | 0         | 0.0666667 | 0         | 0.0833333 | 0         | 0         | 0         | 0.0555556 | 0         | 0.173913  | 0.0434783 | 0         | 0         | 0.119048  | 0.206897  | 0.142857  |
| F5B1  | 0.314286  | 0         | 0.02      | 0.539474  | 0         | 0.555556  | 0.0714286 | 0.180556  | 0.02      | 0.02      | 0.602941  | 0.432432  | 0         | 0         | 0.525424  | 0.486111  | 0.0961538 | 0.157895  | 0.015625  | 0.0181818 | 0.448718  | 0.264706  | 0.196078  | 0.321429  | 0.355932  | 0         | 0         | 0         | 0.0925926 | 0         | 0.02      | 0.529412  | 0.0943396 | 0.134615  | 0.0169492 | 0         | 0.514706  | 0.0806452 | 0.02      | 0.0384615 | 0.315789  | 0         | 0.172414  | 0.1       | 0.169492  | 0.561404  | 0.28125   | 0.272727  | 0.0392157 | 0.0377358 | 0.12069   | 0.535714  | 0         | 0.02      | 0.16129   | 0.02      | 0         | 0.0727273 | 0.107143  | 0.08      | 0.0566038 | 0.578125  | 0.0769231 | 0.338983  | 0.0961538 | 0.0454545 | 0.0192308 | 0.0178571 | 0.02      | 0.02      | 0.127273  | 0.0597015 | 0.245283  | 0.047619  | 0.0961538 | 0.293103  | 0.117647  | 0.125     | 0.137255  | 0.06      | 0.02      | 0.153846  | 0.172414  | 0.152542  | 0.142857  | 0.145161  | 0.142857  | 0         | 0.12      | 0.25      | 0.0185185 | 0.0754717 | 0.535211  | 0.117647  | 0.18      | 1         | 0.45614   | 0.134615  | 0.134615  | 0.14      | 0.0588235 | 0.02      | 0.06      | 0.02      | 0.115385  | 0.0769231 | 0.0980392 | 0.686567  | 0.02      | 0.0196078 | 0.0566038 | 0.326923  | 0.150943  | 0.339286  | 0.047619  | 0.142857  | 0.0192308 | 0.02      | 0         | 0.0588235 | 0.426667  | 0.533333  | 0         | 0.113208  | 0.0196078 | 0.0338983 | 0         | 0.0196078 | 0.0555556 | 0         | 0.0196078 | 0.169231  | 0         | 0.0784314 | 0         | 0         | 0.506329  | 0         | 0         | 0.0188679 | 0.269231  | 0         | 0.08      | 0.02      | 0.655738  | 0.474576  | 0.40625   | 0.02      | 0.117647  | 0.0769231 | 0.08      | 0.02      | 0.0188679 | 0.02      | 0.0909091 | 0.02      | 0.236364  | 0.140351  | 0         | 0         | 0.313433  | 0.433962  | 0.203704  |
| F5B2  | 0.339286  | 0         | 0.030303  | 0.369863  | 0         | 0.319444  | 0.075     | 0.0793651 | 0         | 0         | 0.415385  | 0.412698  | 0         | 0         | 0.303571  | 0.40625   | 0.0526316 | 0.0425532 | 0         | 0         | 0.352113  | 0.254545  | 0.157895  | 0.117647  | 0.235294  | 0         | 0         | 0         | 0.135135  | 0         | 0.030303  | 0.45      | 0.0512821 | 0.05      | 0         | 0         | 0.365079  | 0         | 0.030303  | 0         | 0.45      | 0         | 0.0851064 | 0.117647  | 0.209302  | 0.44      | 0.203704  | 0.325     | 0.0285714 | 0.0555556 | 0         | 0.38      | 0         | 0.030303  | 0.0576923 | 0.030303  | 0         | 0.05      | 0.0714286 | 0         | 0.147059  | 0.527273  | 0.147059  | 0.512195  | 0.176471  | 0         | 0.0588235 | 0         | 0         | 0         | 0.0714286 | 0         | 0.166667  | 0         | 0.111111  | 0.318182  | 0.142857  | 0.0952381 | 0         | 0         | 0.030303  | 0.194444  | 0.214286  | 0.159091  | 0.205128  | 0.0588235 | 0.0681818 | 0         | 0.0833333 | 0.230769  | 0.027027  | 0         | 0.277778  | 0.212121  | 0.135135  | 0.45614   | 1         | 0.05      | 0.272727  | 0.111111  | 0.121212  | 0         | 0.0285714 | 0.030303  | 0.0789474 | 0.181818  | 0.181818  | 0.476923  | 0         | 0         | 0.147059  | 0.209302  | 0         | 0.380952  | 0         | 0.305556  | 0         | 0         | 0         | 0.0571429 | 0.323529  | 0.342466  | 0         | 0.166667  | 0.0294118 | 0.0731707 | 0         | 0         | 0         | 0         | 0.0606061 | 0.18      | 0         | 0         | 0         | 0         | 0.39726   | 0         | 0         | 0         | 0.166667  | 0         | 0.0571429 | 0         | 0.5       | 0.296296  | 0.377358  | 0.030303  | 0.0810811 | 0.147059  | 0.0277778 | 0.030303  | 0.0571429 | 0.030303  | 0.131579  | 0.030303  | 0.159091  | 0.0666667 | 0         | 0         | 0.183333  | 0.282609  | 0.170732  |
| F5B3  | 0.0851064 | 0         | 0         | 0.101449  | 0         | 0.145161  | 0.0555556 | 0.157895  | 0         | 0.111111  | 0.0967742 | 0.0655738 | 0         | 0.0588235 | 0.139535  | 0.1       | 0         | 0.315789  | 0.0434783 | 0.153846  | 0.142857  | 0.0465116 | 0.0526316 | 0.222222  | 0.181818  | 0         | 0         | 0         | 0         | 0.0555556 | 0.111111  | 0.125     | 0.214286  | 0.2       | 0.0555556 | 0         | 0.148148  | 0.130435  | 0         | 0.181818  | 0.0625    | 0         | 0.173913  | 0         | 0.037037  | 0.0212766 | 0.0789474 | 0         | 0         | 0         | 0.2       | 0.125     | 0         | 0         | 0.192308  | 0         | 0         | 0.2       | 0.166667  | 0.3       | 0.0714286 | 0.0526316 | 0.0714286 | 0.0555556 | 0         | 0.0769231 | 0         | 0         | 0         | 0.111111  | 0.166667  | 0.0714286 | 0.0416667 | 0.0869565 | 0         | 0.0967742 | 0.142857  | 0         | 0.214286  | 0.2       | 0         | 0         | 0         | 0         | 0         | 0.2       | 0.15      | 0         | 0         | 0         | 0         | 0.0666667 | 0.133333  | 0.0666667 | 0.0588235 | 0.134615  | 0.05      | 1         | 0.0588235 | 0.0666667 | 0         | 0.111111  | 0         | 0         | 0.0625    | 0.0714286 | 0.0714286 | 0.125     | 0         | 0         | 0.0714286 | 0.0769231 | 0.333333  | 0.0625    | 0.0869565 | 0.0454545 | 0         | 0         | 0         | 0.0833333 | 0.118644  | 0.104478  | 0         | 0.125     | 0         | 0         | 0         | 0         | 0.0666667 | 0         | 0         | 0.0294118 | 0         | 0.166667  | 0         | 0         | 0.130435  | 0         | 0         | 0         | 0.0869565 | 0.0909091 | 0         | 0.111111  | 0.111111  | 0.210526  | 0.0652174 | 0         | 0         | 0         | 0         | 0         | 0.0833333 | 0         | 0.0555556 | 0         | 0.08      | 0.142857  | 0.0588235 | 0         | 0.175     | 0.166667  | 0         |
| F5B4  | 0.108696  | 0         | 0.111111  | 0.101449  | 0         | 0.126984  | 0.0555556 | 0.0232558 | 0         | 0         | 0.152542  | 0.140351  | 0         | 0         | 0.139535  | 0.137931  | 0.0666667 | 0         | 0         | 0         | 0.125     | 0.125     | 0.0526316 | 0.03125   | 0.0833333 | 0         | 0         | 0         | 0.125     | 0         | 0.111111  | 0.145455  | 0.0625    | 0         | 0         | 0         | 0.127273  | 0         | 0         | 0         | 0.214286  | 0         | 0.0384615 | 0         | 0.12      | 0.116279  | 0.0789474 | 0.115385  | 0         | 0         | 0         | 0.153846  | 0         | 0         | 0.0333333 | 0         | 0         | 0.0588235 | 0.05      | 0         | 0.153846  | 0.176471  | 0.153846  | 0.225806  | 0.142857  | 0         | 0.0909091 | 0         | 0         | 0         | 0.05      | 0         | 0.0869565 | 0         | 0.0666667 | 0.172414  | 0.0666667 | 0         | 0         | 0         | 0         | 0.117647  | 0         | 0.0384615 | 0         | 0.0344828 | 0.0952381 | 0         | 0         | 0.142857  | 0         | 0         | 0.0967742 | 0.777778  | 0.125     | 0.134615  | 0.272727  | 0.0588235 | 1         | 0.0666667 | 0.3       | 0         | 0         | 0.111111  | 0.0625    | 0.5       | 0.666667  | 0.142857  | 0         | 0         | 0.25      | 0.0769231 | 0         | 0.259259  | 0         | 0.0952381 | 0         | 0         | 0         | 0         | 0.0819672 | 0.121212  | 0         | 0.125     | 0         | 0.0526316 | 0         | 0         | 0         | 0         | 0.1       | 0.0606061 | 0         | 0         | 0         | 0         | 0.114286  | 0         | 0         | 0         | 0.0869565 | 0         | 0         | 0         | 0.111111  | 0.0952381 | 0.195122  | 0.111111  | 0         | 0.153846  | 0         | 0         | 0         | 0         | 0.0555556 | 0.111111  | 0.0384615 | 0.0434783 | 0         | 0         | 0.0444444 | 0.166667  | 0.0909091 |
| F5C1  | 0.0425532 | 0         | 0         | 0.104478  | 0         | 0.078125  | 0         | 0.0243902 | 0         | 0         | 0.118644  | 0.0862069 | 0         | 0         | 0.119048  | 0.122807  | 0         | 0.0454545 | 0         | 0         | 0.0447761 | 0.0487805 | 0.2       | 0.148148  | 0.0571429 | 0         | 0         | 0         | 0.230769  | 0         | 0         | 0.12963   | 0         | 0         | 0         | 0         | 0.0909091 | 0         | 0         | 0         | 0.103448  | 0         | 0.0416667 | 0         | 0.04      | 0.121951  | 0.0263158 | 0.173913  | 0         | 0.0909091 | 0         | 0.075     | 0         | 0         | 0         | 0         | 0         | 0.0666667 | 0.0555556 | 0         | 0         | 0.115385  | 0         | 0.0588235 | 0         | 0         | 0.111111  | 0         | 0.142857  | 0.142857  | 0.117647  | 0         | 0.0952381 | 0         | 0.0769231 | 0.103448  | 0.0769231 | 0.0526316 | 0         | 0         | 0         | 0.0625    | 0.0416667 | 0.0416667 | 0.05      | 0.037037  | 0.05      | 0         | 0.0833333 | 0.222222  | 0         | 0         | 0.0819672 | 0.0769231 | 0.6       | 0.14      | 0.111111  | 0.0666667 | 0.0666667 | 1         | 0.1       | 0         | 0.111111  | 0.142857  | 0.0714286 | 0.0833333 | 0.0833333 | 0.111111  | 0         | 0         | 0.0833333 | 0.0833333 | 0.0588235 | 0.0666667 | 0         | 0.05      | 0         | 0         | 0         | 0         | 0.0322581 | 0.0909091 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.1       | 0         | 0.0909091 | 0         | 0         | 0.0704225 | 0         | 0         | 0         | 0.0454545 | 0         | 0.1       | 0         | 0.137255  | 0.1       | 0.0444444 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0625    | 0         | 0.0416667 | 0.047619  | 0         | 0         | 0.097561  | 0.178571  | 0.047619  |
